xmin,xmax,words,karTones,emiTones,sarTones,karBreaks,emiBreaks,sarBreaks,karMisc,emiMisc,sarMisc
0,1.16,computerized,H*,L+H*,H*,3,3,3,,,
1.16,1.45,phone,, !H,, 1, 1, 1,,,
1.45,1.94,calls, L-L%, L-L%, H-L% , 4, 4, 4,,,
1.94,2.17,which,,,, 1, 1, 1,,,
2.17,2.31,do,, L+H,, 1, 1, 1,,,
2.31,2.74,everything, H*, H*, H*, 3, 3, 3,,,
2.74,2.96,from,, L*,, 2, 2, 2,,,
2.96,3.34,selling, H*, !H*, H*, 1, 1, 1,,,
3.34,3.86,magazine,, !H*, , 1, 1, 1,,,
3.86,4.73,subscriptions, H-L%, L-L%, H-L%, 4, 4, 4,,,
4.73,4.87,to,,,, 1-, 1-, 1-,,,
4.87,5.34,reminding, H*, L+H, H*, 1, 1, 1,,,
5.34,5.64,people,, !H*,, 1, 1, 1,,,
5.64,5.91,about,, L*,, 1, 1, 1,,,
5.91,6.41,meetings, H* H-L%, H-L%,  H-L%, 4, 4, 4,,,
6.41,6.9,have,,,, 1, 1, 1,,,
6.9,7.34,become, H*, H+L*,, 3-, 3-, 3-,,,
7.34,7.44,the,,, , 1, 1, 1,,,
7.44,7.98,telephone, H*, H*+L, H*, 1, 1,  1,,,
7.98,8.6,equivalent, L-H%,, , 4, 4*,  ,,,
8.6,8.74,of,, L*,, 1, 1, 1,glottalization f0 error,glottalization f0 error, glottalization
8.74,9.070001,junk, L*,,, 1, 1, ,,, f0 error
9.070001,9.52,mail, L-L%, L-L%,  H-L%, 4, 4, 4,,,
9.52,10.02,But,,,, 0, 0, 0,,,
10.02,10.08,a,,,, 1-, 1-, 1-,,,
10.08,10.29,new, H*, L+H*, H*, 1, 1, 1,,,
10.29,10.950001,application,, L*, , 3-, 3-, 3-,,,
10.950001,11.04,of,,,, 1-, 1-, 1-,,,
11.04,11.14,the,,,, 1-, 1-, 1-,,,
11.14,11.88,technology, L-H%, L+!H*, , 4, 4*, ,,,
11.88,12.030001,is,,,, 1, 1, 1,,,
12.030001,12.25,about, H*, !H*,, 1, 1, 1,,,
12.25,12.360001,to,,,, 1-, 1-, 1-,,,
12.360001,12.48,be,,,, 1, 1, 1,,,
12.48,12.78,tried,, !H*, !H*, 0, 0, 0,,,
12.78,12.95,out,,,, 1, 1, 1,,,
12.95,13.070001,in,,, , 1, 1, 1,,,
13.070001,13.95,Massachusetts, H-L*, !H-L%, H-L%, 4, 4, 4,,,
13.95,14.41,to,,,, 1, 1, 1,,,
14.41,14.73,ease,, H+H,, 2-, 2-, 2-,,,
14.73,15.09,crowded, H*, H*, H*, 1, 4, ,,,
